x_new y_silverman y_scott
0 1.89193 2.75866
0.0858586 1.90798 2.76986
0.171717 1.9245 2.78112
0.257576 1.9415 2.79245
0.343434 1.95899 2.80385
0.429293 1.97698 2.81532
0.515152 1.99548 2.82685
0.60101 2.0145 2.83845
0.686869 2.03406 2.85012
0.772727 2.05416 2.86186
0.858586 2.0748 2.87366
0.944444 2.09601 2.88552
1.0303 2.11778 2.89745
1.11616 2.14013 2.90944
1.20202 2.16305 2.92149
1.28788 2.18657 2.9336
1.37374 2.21067 2.94577
1.4596 2.23536 2.958
1.54545 2.26065 2.97028
1.63131 2.28654 2.98262
1.71717 2.31302 2.99502
1.80303 2.3401 3.00747
1.88889 2.36777 3.01998
1.97475 2.39604 3.03253
2.06061 2.42488 3.04514
2.14646 2.45431 3.0578
2.23232 2.4843 3.0705
2.31818 2.51485 3.08325
2.40404 2.54595 3.09605
2.4899 2.57758 3.10889
2.57576 2.60974 3.12178
2.66162 2.6424 3.1347
2.74747 2.67555 3.14767
2.83333 2.70918 3.16067
2.91919 2.74325 3.17371
3.00505 2.77776 3.18679
3.09091 2.81267 3.1999
3.17677 2.84798 3.21304
3.26263 2.88365 3.22621
3.34848 2.91966 3.23942
3.43434 2.95598 3.25265
3.5202 2.9926 3.2659
3.60606 3.02949 3.27919
3.69192 3.06661 3.29249
3.77778 3.10395 3.30582
3.86364 3.14147 3.31916
3.94949 3.17916 3.33252
4.03535 3.21698 3.3459
4.12121 3.25491 3.3593
4.20707 3.29293 3.3727
4.29293 3.33101 3.38612
4.37879 3.36912 3.39955
4.46465 3.40723 3.41298
4.55051 3.44534 3.42642
4.63636 3.4834 3.43986
4.72222 3.5214 3.45331
4.80808 3.55931 3.46675
4.89394 3.59711 3.4802
4.9798 3.63478 3.49364
5.06566 3.67229 3.50707
5.15152 3.70962 3.5205
5.23737 3.74676 3.53393
5.32323 3.78367 3.54734
5.40909 3.82034 3.56074
5.49495 3.85675 3.57412
5.58081 3.89288 3.58749
5.66667 3.9287 3.60084
5.75253 3.96421 3.61418
5.83838 3.99937 3.62749
5.92424 4.03417 3.64078
6.0101 4.06859 3.65405
6.09596 4.10262 3.66729
6.18182 4.13623 3.6805
6.26768 4.16942 3.69369
6.35354 4.20216 3.70684
6.43939 4.23444 3.71996
6.52525 4.26624 3.73305
6.61111 4.29756 3.7461
6.69697 4.32837 3.75912
6.78283 4.35867 3.7721
6.86869 4.38844 3.78503
6.95455 4.41769 3.79793
7.0404 4.44638 3.81078
7.12626 4.47453 3.82359
7.21212 4.50211 3.83635
7.29798 4.52913 3.84907
7.38384 4.55558 3.86174
7.4697 4.58145 3.87435
7.55556 4.60674 3.88692
7.64141 4.63146 3.89944
7.72727 4.65559 3.9119
7.81313 4.67914 3.9243
7.89899 4.70211 3.93665
7.98485 4.7245 3.94894
8.07071 4.74631 3.96118
8.15657 4.76755 3.97335
8.24242 4.78823 3.98547
8.32828 4.80833 3.99752
8.41414 4.82788 4.00951
8.5 4.84688 4.02144
